Pitch,Loudness,Brightness,Noisiness,Sample
2664.466351,-3.727346,4402.748735,0.901112,1
2925.734766,-3.788840,3929.237713,0.854073,1
4181.426897,-3.652871,3856.158365,0.842082,1
229.022415,-3.524409,3331.503049,0.832381,1
4089.942922,-3.205872,3333.993901,0.858210,1
4131.335523,-2.825140,3309.487293,0.840344,1
2938.842662,-4.544463,3725.039948,0.883420,1
241.706246,-3.369136,3702.892101,0.841375,1
261.690376,-4.614890,3779.302329,0.867635,1
2930.544976,-4.460350,3792.019033,0.874606,1
241.211730,-3.598039,3582.217095,0.857613,1
4090.718508,-4.879869,3905.925699,0.887957,1
4223.189269,-4.395268,3851.946653,0.845126,1
2928.778156,-4.166387,3742.518065,0.871935,1
2937.167908,-4.379700,4133.773623,0.901129,1
4358.596163,-5.183399,3029.671511,0.891553,1
4219.394231,-4.602650,2951.247401,0.866182,1
2587.159068,-4.709308,3054.911348,0.902095,1
4179.063172,-3.608740,3017.001131,0.867149,1
2662.449961,-5.847557,3088.090342,0.866917,1
3477.063985,-5.308726,3214.778102,0.889555,1
3492.345227,-4.759162,3158.981740,0.872660,1
2667.079985,-2.553074,3062.894026,0.818127,1
2936.736134,-4.398756,3373.411110,0.887432,1
264.254104,-4.473383,4380.376392,0.861593,2
546.468147,-5.383800,3037.778391,0.806488,2
221.156840,-7.035662,3325.360264,0.840030,2
294.491203,-5.161722,1994.909685,0.794907,2
301.710174,-2.831047,4361.426494,0.825347,2
291.600471,-5.515837,3898.959225,0.845829,2
303.546253,-4.446227,3421.807927,0.800459,2
293.035841,-6.374587,3293.723383,0.863168,2
392.381006,-5.743141,2675.750053,0.838844,2
391.263688,-8.133000,2919.419029,0.851818,2
396.140257,-7.926633,2319.170298,0.820532,2
297.853289,-6.129623,2985.139268,0.840001,2
307.751635,-4.528100,2247.970607,0.802263,2
260.564147,-5.556720,2525.976200,0.826211,2
290.835469,-5.088020,2319.445743,0.821563,2
287.881470,-5.253899,2233.844418,0.820980,2
235.355981,-6.264153,2227.343361,0.810582,2
300.304946,-5.722114,2224.778817,0.819299,2
291.077758,-5.807063,2069.238268,0.807717,2
232.931815,-2.184178,2824.916719,0.801800,2
278.284880,-2.748314,2672.472077,0.794892,2
331.024900,-4.845059,2773.250682,0.806880,2
280.308206,-3.710059,4285.223330,0.821969,2
341.859717,-6.293389,2698.417293,0.841770,2
266.620826,-3.707041,3432.938284,0.861674,2
231.490353,-7.712089,2966.841117,0.847268,2
324.652942,-5.730373,2521.084035,0.806152,2
357.689025,-6.589766,2494.481974,0.821913,2
594.543876,-2.070146,3010.726655,0.764867,2
301.410452,-3.395613,2939.394980,0.785454,2
288.675487,-4.801963,3564.773370,0.822292,2
294.950908,-2.860152,2943.352185,0.807533,2
315.391356,-3.388328,2284.800133,0.822780,2
292.908873,-3.848252,2018.531588,0.788706,2
255.130359,-4.024911,3963.968418,0.814850,2
390.459658,-3.575309,3619.415088,0.799674,2
297.314304,-4.089557,2078.198165,0.795334,2
306.648299,-3.970108,3084.563526,0.814498,2
306.799799,-5.130640,2444.887024,0.828290,2
292.979048,-4.506966,2254.868776,0.813126,2
307.077890,-5.366823,2959.962768,0.815093,2
307.073615,-8.153061,3610.544829,0.840228,2
230.234403,-8.377403,3097.466954,0.832779,2
290.595429,-7.080395,2188.496766,0.802710,2
302.917397,-6.371359,2184.292274,0.796322,2
591.472102,-5.299628,2076.226234,0.782999,2
288.340102,-4.627998,2319.659771,0.808805,2
293.551535,-4.578387,2189.790955,0.832589,2
393.100322,-6.098268,2287.822870,0.818641,2
240.00808,-7.532624,2130.831766,0.795184,3
400.572733,-9.096279,1491.525846,0.725788,3
252.655146,-8.865232,1588.980091,0.73794,3
390.824293,-8.521759,1496.361287,0.717554,3
344.357639,-8.859732,1481.286127,0.71118,3
334.373228,-9.300301,2934.093293,0.757658,3
233.534178,-7.106665,2669.064897,0.859867,3
270.912788,-8.565723,1551.084456,0.760351,3
526.695848,-7.145971,1401.392396,0.719801,3
260.710477,-8.629572,1461.017586,0.753536,3
233.12805,-8.676316,2375.197301,0.784821,3
398.310303,-8.408067,1746.825565,0.729674,3
335.344828,-10.223462,1822.125387,0.747849,3
395.050309,-6.211277,1506.578254,0.701338,3
508.315179,-8.452235,2183.662457,0.740537,3
342.377607,-9.563568,1641.945392,0.719312,3
